;v0.3.136e1_DAREschedule_ECAI-CL_DARE_8All
Average of min size of {argue} sent (min) ;14.75;
Average of min size of {argue} sent (max) ;14.75;
Standard deviation of nb of {argue} sent (avg) ;6.9450971915445505;
Standard deviation of nb of {argue} sent (stddev) ;0.0;
Standard deviation of nb of {argue} sent (min) ;6.9450971915445505;
Standard deviation of nb of {argue} sent (max) ;6.9450971915445505;
Standard deviation of total size of {argue} sent (avg) ;866.8142732875365;
Standard deviation of total size of {argue} sent (stddev) ;0.0;
Standard deviation of total size of {argue} sent (min) ;866.8142732875365;
Standard deviation of total size of {argue} sent (max) ;866.8142732875365;
Standard deviation of max size of {argue} sent (avg) ;45.63921011586419;
Standard deviation of max size of {argue} sent (stddev) ;0.0;
Standard deviation of max size of {argue} sent (min) ;45.63921011586419;
Standard deviation of max size of {argue} sent (max) ;45.63921011586419;
Standard deviation of min size of {argue} sent (avg) ;41.6705831492673;
Standard deviation of min size of {argue} sent (stddev) ;0.0;
Standard deviation of min size of {argue} sent (min) ;41.6705831492673;
Standard deviation of min size of {argue} sent (max) ;41.6705831492673;
Product of nb of {propose again} sent (avg) ;5.0;
Product of nb of {propose again} sent (stddev) ;0.0;
Product of nb of {propose again} sent (min) ;5;
Product of nb of {propose again} sent (max) ;5;
Product of total size of {propose again} sent (avg) ;4617605.0;
Product of total size of {propose again} sent (stddev) ;0.0;
Product of total size of {propose again} sent (min) ;4617605;
Product of total size of {propose again} sent (max) ;4617605;
Product of max size of {propose again} sent (avg) ;923521.0;
Product of max size of {propose again} sent (stddev) ;0.0;
Product of max size of {propose again} sent (min) ;923521;
Product of max size of {propose again} sent (max) ;923521;
Product of min size of {propose again} sent (avg) ;923521.0;
Product of min size of {propose again} sent (stddev) ;0.0;
Product of min size of {propose again} sent (min) ;923521;
Product of min size of {propose again} sent (max) ;923521;
Max of nb of {propose again} sent (avg) ;5.0;
Max of nb of {propose again} sent (stddev) ;0.0;
Max of nb of {propose again} sent (min) ;5;
Max of nb of {propose again} sent (max) ;5;
Max of total size of {propose again} sent (avg) ;155.0;
Max of total size of {propose again} sent (stddev) ;0.0;
Max of total size of {propose again} sent (min) ;155;
Max of total size of {propose again} sent (max) ;155;
Max of max size of {propose again} sent (avg) ;31.0;
Max of max size of {propose again} sent (stddev) ;0.0;
Max of max size of {propose again} sent (min) ;31;
Max of max size of {propose again} sent (max) ;31;
Max of min size of {propose again} sent (avg) ;31.0;
Max of min size of {propose again} sent (stddev) ;0.0;
Max of min size of {propose again} sent (min) ;31;
Max of min size of {propose again} sent (max) ;31;
Min of nb of {propose again} sent (avg) ;-1.0;
Min of nb of {propose again} sent (stddev) ;0.0;
Min of nb of {propose again} sent (min) ;-1;
Min of nb of {propose again} sent (max) ;0;
Min of total size of {propose again} sent (avg) ;-1.0;
Min of total size of {propose again} sent (stddev) ;0.0;
Min of total size of {propose again} sent (min) ;-1;
Min of total size of {propose again} sent (max) ;0;
Min of max size of {propose again} sent (avg) ;-1.0;
Min of max size of {propose again} sent (stddev) ;0.0;
Min of max size of {propose again} sent (min) ;-1;
Min of max size of {propose again} sent (max) ;0;
Min of min size of {propose again} sent (avg) ;-1.0;
Min of min size of {propose again} sent (stddev) ;0.0;
Min of min size of {propose again} sent (min) ;-1;
Min of min size of {propose again} sent (max) ;0;
Sum of nb of {propose again} sent (avg) ;4.0;
Sum of nb of {propose again} sent (stddev) ;0.0;
Sum of nb of {propose again} sent (min) ;4;
Sum of nb of {propose again} sent (max) ;4;
Sum of total size of {propose again} sent (avg) ;244.0;
Sum of total size of {propose again} sent (stddev) ;0.0;
Sum of total size of {propose again} sent (min) ;244;
Sum of total size of {propose again} sent (max) ;244;
Sum of max size of {propose again} sent (avg) ;120.0;
Sum of max size of {propose again} sent (stddev) ;0.0;
Sum of max size of {propose again} sent (min) ;120;
Sum of max size of {propose again} sent (max) ;120;
Sum of min size of {propose again} sent (avg) ;120.0;
Sum of min size of {propose again} sent (stddev) ;0.0;
Sum of min size of {propose again} sent (min) ;120;
Sum of min size of {propose again} sent (max) ;120;
Average of nb of {propose again} sent (avg) ;0.5;
Average of nb of {propose again} sent (stddev) ;0.0;
Average of nb of {propose again} sent (min) ;0.5;
Average of nb of {propose again} sent (max) ;0.5;
Average of total size of {propose again} sent (avg) ;30.5;
Average of total size of {propose again} sent (stddev) ;0.0;
Average of total size of {propose again} sent (min) ;30.5;
Average of total size of {propose again} sent (max) ;30.5;
Average of max size of {propose again} sent (avg) ;15.0;
Average of max size of {propose again} sent (stddev) ;0.0;
Average of max size of {propose again} sent (min) ;15.0;
Average of max size of {propose again} sent (max) ;15.0;
Average of min size of {propose again} sent (avg) ;15.0;
Average of min size of {propose again} sent (stddev) ;0.0;
Average of min size of {propose again} sent (min) ;15.0;
Average of min size of {propose again} sent (max) ;15.0;
Standard deviation of nb of {propose again} sent (avg) ;1.9364916731037085;
Standard deviation of nb of {propose again} sent (stddev) ;0.0;
Standard deviation of nb of {propose again} sent (min) ;1.9364916731037085;
Standard deviation of nb of {propose again} sent (max) ;1.9364916731037085;
Standard deviation of total size of {propose again} sent (avg) ;49.33305180099848;
Standard deviation of total size of {propose again} sent (stddev) ;0.0;
Standard deviation of total size of {propose again} sent (min) ;49.33305180099848;
Standard deviation of total size of {propose again} sent (max) ;49.33305180099848;
Standard deviation of max size of {propose again} sent (avg) ;16.0;
Standard deviation of max size of {propose again} sent (stddev) ;0.0;
Standard deviation of max size of {propose again} sent (min) ;16.0;
Standard deviation of max size of {propose again} sent (max) ;16.0;
Standard deviation of min size of {propose again} sent (avg) ;16.0;
Standard deviation of min size of {propose again} sent (stddev) ;0.0;
Standard deviation of min size of {propose again} sent (min) ;16.0;
Standard deviation of min size of {propose again} sent (max) ;16.0;
Product of nb of {end of local conversation} sent (avg) ;80.0;
Product of nb of {end of local conversation} sent (stddev) ;0.0;
Product of nb of {end of local conversation} sent (min) ;80;
Product of nb of {end of local conversation} sent (max) ;80;
Product of total size of {end of local conversation} sent (avg) ;8.0E9;
Product of total size of {end of local conversation} sent (stddev) ;0.0;
Product of total size of {end of local conversation} sent (min) ;8000000000;
Product of total size of {end of local conversation} sent (max) ;8000000000;
Product of max size of {end of local conversation} sent (avg) ;1.0E8;
Product of max size of {end of local conversation} sent (stddev) ;0.0;
Product of max size of {end of local conversation} sent (min) ;100000000;
Product of max size of {end of local conversation} sent (max) ;100000000;
Product of min size of {end of local conversation} sent (avg) ;1.0E8;
Product of min size of {end of local conversation} sent (stddev) ;0.0;
Product of min size of {end of local conversation} sent (min) ;100000000;
Product of min size of {end of local conversation} sent (max) ;100000000;
Max of nb of {end of local conversation} sent (avg) ;5.0;
Max of nb of {end of local conversation} sent (stddev) ;0.0;
Max of nb of {end of local conversation} sent (min) ;5;
Max of nb of {end of local conversation} sent (max) ;5;
Max of total size of {end of local conversation} sent (avg) ;50.0;
Max of total size of {end of local conversation} sent (stddev) ;0.0;
Max of total size of {end of local conversation} sent (min) ;50;
Max of total size of {end of local conversation} sent (max) ;50;
Max of max size of {end of local conversation} sent (avg) ;10.0;
Max of max size of {end of local conversation} sent (stddev) ;0.0;
Max of max size of {end of local conversation} sent (min) ;10;
Max of max size of {end of local conversation} sent (max) ;10;
Max of min size of {end of local conversation} sent (avg) ;10.0;
Max of min size of {end of local conversation} sent (stddev) ;0.0;
Max of min size of {end of local conversation} sent (min) ;10;
Max of min size of {end of local conversation} sent (max) ;10;
Min of nb of {end of local conversation} sent (avg) ;1.0;
Min of nb of {end of local conversation} sent (stddev) ;0.0;
Min of nb of {end of local conversation} sent (min) ;1;
Min of nb of {end of local conversation} sent (max) ;1;
Min of total size of {end of local conversation} sent (avg) ;10.0;
Min of total size of {end of local conversation} sent (stddev) ;0.0;
Min of total size of {end of local conversation} sent (min) ;10;
Min of total size of {end of local conversation} sent (max) ;10;
Min of max size of {end of local conversation} sent (avg) ;10.0;
Min of max size of {end of local conversation} sent (stddev) ;0.0;
Min of max size of {end of local conversation} sent (min) ;10;
Min of max size of {end of local conversation} sent (max) ;10;
Min of min size of {end of local conversation} sent (avg) ;10.0;
Min of min size of {end of local conversation} sent (stddev) ;0.0;
Min of min size of {end of local conversation} sent (min) ;10;
Min of min size of {end of local conversation} sent (max) ;10;
Sum of nb of {end of local conversation} sent (avg) ;16.0;
Sum of nb of {end of local conversation} sent (stddev) ;0.0;
Sum of nb of {end of local conversation} sent (min) ;16;
Sum of nb of {end of local conversation} sent (max) ;16;
Sum of total size of {end of local conversation} sent (avg) ;160.0;
Sum of total size of {end of local conversation} sent (stddev) ;0.0;
Sum of total size of {end of local conversation} sent (min) ;160;
Sum of total size of {end of local conversation} sent (max) ;160;
Sum of max size of {end of local conversation} sent (avg) ;80.0;
Sum of max size of {end of local conversation} sent (stddev) ;0.0;
Sum of max size of {end of local conversation} sent (min) ;80;
Sum of max size of {end of local conversation} sent (max) ;80;
Sum of min size of {end of local conversation} sent (avg) ;80.0;
Sum of min size of {end of local conversation} sent (stddev) ;0.0;
Sum of min size of {end of local conversation} sent (min) ;80;
Sum of min size of {end of local conversation} sent (max) ;80;
Average of nb of {end of local conversation} sent (avg) ;2.0;
Average of nb of {end of local conversation} sent (stddev) ;0.0;
Average of nb of {end of local conversation} sent (min) ;2.0;
Average of nb of {end of local conversation} sent (max) ;2.0;
Average of total size of {end of local conversation} sent (avg) ;20.0;
Average of total size of {end of local conversation} sent (stddev) ;0.0;
Average of total size of {end of local conversation} sent (min) ;20.0;
Average of total size of {end of local conversation} sent (max) ;20.0;
Average of max size of {end of local conversation} sent (avg) ;10.0;
Average of max size of {end of local conversation} sent (stddev) ;0.0;
Average of max size of {end of local conversation} sent (min) ;10.0;
Average of max size of {end of local conversation} sent (max) ;10.0;
Average of min size of {end of local conversation} sent (avg) ;10.0;
Average of min size of {end of local conversation} sent (stddev) ;0.0;
Average of min size of {end of local conversation} sent (min) ;10.0;
Average of min size of {end of local conversation} sent (max) ;10.0;
Standard deviation of nb of {end of local conversation} sent (avg) ;1.224744871391589;
Standard deviation of nb of {end of local conversation} sent (stddev) ;0.0;
Standard deviation of nb of {end of local conversation} sent (min) ;1.224744871391589;
Standard deviation of nb of {end of local conversation} sent (max) ;1.224744871391589;
Standard deviation of total size of {end of local conversation} sent (avg) ;12.24744871391589;
Standard deviation of total size of {end of local conversation} sent (stddev) ;0.0;
Standard deviation of total size of {end of local conversation} sent (min) ;12.24744871391589;
Standard deviation of total size of {end of local conversation} sent (max) ;12.24744871391589;
Standard deviation of max size of {end of local conversation} sent (avg) ;0.0;
Standard deviation of max size of {end of local conversation} sent (stddev) ;0.0;
Standard deviation of max size of {end of local conversation} sent (min) ;0.0;
Standard deviation of max size of {end of local conversation} sent (max) ;0;
Standard deviation of min size of {end of local conversation} sent (avg) ;0.0;
Standard deviation of min size of {end of local conversation} sent (stddev) ;0.0;
Standard deviation of min size of {end of local conversation} sent (min) ;0.0;
Standard deviation of min size of {end of local conversation} sent (max) ;0;
Product of nb of {new neighbour} received (avg) ;80.0;
Product of nb of {new neighbour} received (stddev) ;0.0;
Product of nb of {new neighbour} received (min) ;80;
Product of nb of {new neighbour} received (max) ;80;
Product of total size of {new neighbour} received (avg) ;0.0;
Product of total size of {new neighbour} received (stddev) ;0.0;
Product of total size of {new neighbour} received (min) ;0;
Product of total size of {new neighbour} received (max) ;0;
Product of max size of {new neighbour} received (avg) ;0.0;
Product of max size of {new neighbour} received (stddev) ;0.0;
Product of max size of {new neighbour} received (min) ;0;
Product of max size of {new neighbour} received (max) ;0;
Product of min size of {new neighbour} received (avg) ;0.0;
Product of min size of {new neighbour} received (stddev) ;0.0;
Product of min size of {new neighbour} received (min) ;0;
Product of min size of {new neighbour} received (max) ;0;
Max of nb of {new neighbour} received (avg) ;5.0;
Max of nb of {new neighbour} received (stddev) ;0.0;
Max of nb of {new neighbour} received (min) ;5;
Max of nb of {new neighbour} received (max) ;5;
Max of total size of {new neighbour} received (avg) ;0.0;
Max of total size of {new neighbour} received (stddev) ;0.0;
Max of total size of {new neighbour} received (min) ;0;
Max of total size of {new neighbour} received (max) ;0;
Max of max size of {new neighbour} received (avg) ;0.0;
Max of max size of {new neighbour} received (stddev) ;0.0;
Max of max size of {new neighbour} received (min) ;0;
Max of max size of {new neighbour} received (max) ;0;
Max of min size of {new neighbour} received (avg) ;0.0;
Max of min size of {new neighbour} received (stddev) ;0.0;
Max of min size of {new neighbour} received (min) ;0;
Max of min size of {new neighbour} received (max) ;0;
Min of nb of {new neighbour} received (avg) ;1.0;
Min of nb of {new neighbour} received (stddev) ;0.0;
Min of nb of {new neighbour} received (min) ;1;
Min of nb of {new neighbour} received (max) ;1;
Min of total size of {new neighbour} received (avg) ;0.0;
Min of total size of {new neighbour} received (stddev) ;0.0;
Min of total size of {new neighbour} received (min) ;0;
Min of total size of {new neighbour} received (max) ;0;
Min of max size of {new neighbour} received (avg) ;0.0;
Min of max size of {new neighbour} received (stddev) ;0.0;
Min of max size of {new neighbour} received (min) ;0;
Min of max size of {new neighbour} received (max) ;0;
Min of min size of {new neighbour} received (avg) ;0.0;
Min of min size of {new neighbour} received (stddev) ;0.0;
Min of min size of {new neighbour} received (min) ;0;
Min of min size of {new neighbour} received (max) ;0;
Sum of nb of {new neighbour} received (avg) ;16.0;
Sum of nb of {new neighbour} received (stddev) ;0.0;
Sum of nb of {new neighbour} received (min) ;16;
Sum of nb of {new neighbour} received (max) ;16;
Sum of total size of {new neighbour} received (avg) ;0.0;
Sum of total size of {new neighbour} received (stddev) ;0.0;
Sum of total size of {new neighbour} received (min) ;0;
Sum of total size of {new neighbour} received (max) ;0;
Sum of max size of {new neighbour} received (avg) ;0.0;
Sum of max size of {new neighbour} received (stddev) ;0.0;
Sum of max size of {new neighbour} received (min) ;0;
Sum of max size of {new neighbour} received (max) ;0;
Sum of min size of {new neighbour} received (avg) ;0.0;
Sum of min size of {new neighbour} received (stddev) ;0.0;
Sum of min size of {new neighbour} received (min) ;0;
Sum of min size of {new neighbour} received (max) ;0;
Average of nb of {new neighbour} received (avg) ;2.0;
Average of nb of {new neighbour} received (stddev) ;0.0;
Average of nb of {new neighbour} received (min) ;2.0;
Average of nb of {new neighbour} received (max) ;2.0;
Average of total size of {new neighbour} received (avg) ;0.0;
Average of total size of {new neighbour} received (stddev) ;0.0;
Average of total size of {new neighbour} received (min) ;0.0;
Average of total size of {new neighbour} received (max) ;0;
Average of max size of {new neighbour} received (avg) ;0.0;
Average of max size of {new neighbour} received (stddev) ;0.0;
Average of max size of {new neighbour} received (min) ;0.0;
Average of max size of {new neighbour} received (max) ;0;
Average of min size of {new neighbour} received (avg) ;0.0;
Average of min size of {new neighbour} received (stddev) ;0.0;
Average of min size of {new neighbour} received (min) ;0.0;
Average of min size of {new neighbour} received (max) ;0;
Standard deviation of nb of {new neighbour} received (avg) ;1.224744871391589;
Standard deviation of nb of {new neighbour} received (stddev) ;0.0;
Standard deviation of nb of {new neighbour} received (min) ;1.224744871391589;
Standard deviation of nb of {new neighbour} received (max) ;1.224744871391589;
Standard deviation of total size of {new neighbour} received (avg) ;0.0;
Standard deviation of total size of {new neighbour} received (stddev) ;0.0;
Standard deviation of total size of {new neighbour} received (min) ;0.0;
Standard deviation of total size of {new neighbour} received (max) ;0;
Standard deviation of max size of {new neighbour} received (avg) ;0.0;
Standard deviation of max size of {new neighbour} received (stddev) ;0.0;
Standard deviation of max size of {new neighbour} received (min) ;0.0;
Standard deviation of max size of {new neighbour} received (max) ;0;
Standard deviation of min size of {new neighbour} received (avg) ;0.0;
Standard deviation of min size of {new neighbour} received (stddev) ;0.0;
Standard deviation of min size of {new neighbour} received (min) ;0.0;
Standard deviation of min size of {new neighbour} received (max) ;0;
Product of nb of {start} received (avg) ;1.0;
Product of nb of {start} received (stddev) ;0.0;
Product of nb of {start} received (min) ;1;
Product of nb of {start} received (max) ;1;
Product of total size of {start} received (avg) ;0.0;
Product of total size of {start} received (stddev) ;0.0;
Product of total size of {start} received (min) ;0;
Product of total size of {start} received (max) ;0;
Product of max size of {start} received (avg) ;0.0;
Product of max size of {start} received (stddev) ;0.0;
Product of max size of {start} received (min) ;0;
Product of max size of {start} received (max) ;0;
Product of min size of {start} received (avg) ;0.0;
Product of min size of {start} received (stddev) ;0.0;
Product of min size of {start} received (min) ;0;
Product of min size of {start} received (max) ;0;
Max of nb of {start} received (avg) ;1.0;
Max of nb of {start} received (stddev) ;0.0;
Max of nb of {start} received (min) ;1;
Max of nb of {start} received (max) ;1;
Max of total size of {start} received (avg) ;0.0;
Max of total size of {start} received (stddev) ;0.0;
Max of total size of {start} received (min) ;0;
Max of total size of {start} received (max) ;0;
Max of max size of {start} received (avg) ;0.0;
Max of max size of {start} received (stddev) ;0.0;
Max of max size of {start} received (min) ;0;
Max of max size of {start} received (max) ;0;
Max of min size of {start} received (avg) ;0.0;
Max of min size of {start} received (stddev) ;0.0;
Max of min size of {start} received (min) ;0;
Max of min size of {start} received (max) ;0;
Min of nb of {start} received (avg) ;1.0;
Min of nb of {start} received (stddev) ;0.0;
Min of nb of {start} received (min) ;1;
Min of nb of {start} received (max) ;1;
Min of total size of {start} received (avg) ;0.0;
Min of total size of {start} received (stddev) ;0.0;
Min of total size of {start} received (min) ;0;
Min of total size of {start} received (max) ;0;
Min of max size of {start} received (avg) ;0.0;
Min of max size of {start} received (stddev) ;0.0;
Min of max size of {start} received (min) ;0;
Min of max size of {start} received (max) ;0;
Min of min size of {start} received (avg) ;0.0;
Min of min size of {start} received (stddev) ;0.0;
Min of min size of {start} received (min) ;0;
Min of min size of {start} received (max) ;0;
Sum of nb of {start} received (avg) ;8.0;
Sum of nb of {start} received (stddev) ;0.0;
Sum of nb of {start} received (min) ;8;
Sum of nb of {start} received (max) ;8;
Sum of total size of {start} received (avg) ;0.0;
Sum of total size of {start} received (stddev) ;0.0;
Sum of total size of {start} received (min) ;0;
Sum of total size of {start} received (max) ;0;
Sum of max size of {start} received (avg) ;0.0;
Sum of max size of {start} received (stddev) ;0.0;
Sum of max size of {start} received (min) ;0;
Sum of max size of {start} received (max) ;0;
Sum of min size of {start} received (avg) ;0.0;
Sum of min size of {start} received (stddev) ;0.0;
Sum of min size of {start} received (min) ;0;
Sum of min size of {start} received (max) ;0;
Average of nb of {start} received (avg) ;1.0;
Average of nb of {start} received (stddev) ;0.0;
Average of nb of {start} received (min) ;1.0;
Average of nb of {start} received (max) ;1.0;
Average of total size of {start} received (avg) ;0.0;
Average of total size of {start} received (stddev) ;0.0;
Average of total size of {start} received (min) ;0.0;
Average of total size of {start} received (max) ;0;
Average of max size of {start} received (avg) ;0.0;
Average of max size of {start} received (stddev) ;0.0;
Average of max size of {start} received (min) ;0.0;
Average of max size of {start} received (max) ;0;
Average of min size of {start} received (avg) ;0.0;
Average of min size of {start} received (stddev) ;0.0;
Average of min size of {start} received (min) ;0.0;
Average of min size of {start} received (max) ;0;
Standard deviation of nb of {start} received (avg) ;0.0;
Standard deviation of nb of {start} received (stddev) ;0.0;
Standard deviation of nb of {start} received (min) ;0.0;
Standard deviation of nb of {start} received (max) ;0;
Standard deviation of total size of {start} received (avg) ;0.0;
Standard deviation of total size of {start} received (stddev) ;0.0;
Standard deviation of total size of {start} received (min) ;0.0;
Standard deviation of total size of {start} received (max) ;0;
Standard deviation of max size of {start} received (avg) ;0.0;
Standard deviation of max size of {start} received (stddev) ;0.0;
Standard deviation of max size of {start} received (min) ;0.0;
Standard deviation of max size of {start} received (max) ;0;
Standard deviation of min size of {start} received (avg) ;0.0;
Standard deviation of min size of {start} received (stddev) ;0.0;
Standard deviation of min size of {start} received (min) ;0.0;
Standard deviation of min size of {start} received (max) ;0;
Product of nb of {launch} received (avg) ;-1.0;
Product of nb of {launch} received (stddev) ;0.0;
Product of nb of {launch} received (min) ;-1;
Product of nb of {launch} received (max) ;0;
Product of total size of {launch} received (avg) ;0.0;
Product of total size of {launch} received (stddev) ;0.0;
Product of total size of {launch} received (min) ;0;
Product of total size of {launch} received (max) ;0;
Product of max size of {launch} received (avg) ;0.0;
Product of max size of {launch} received (stddev) ;0.0;
Product of max size of {launch} received (min) ;0;
Product of max size of {launch} received (max) ;0;
Product of min size of {launch} received (avg) ;0.0;
Product of min size of {launch} received (stddev) ;0.0;
Product of min size of {launch} received (min) ;0;
Product of min size of {launch} received (max) ;0;
Max of nb of {launch} received (avg) ;1.0;
Max of nb of {launch} received (stddev) ;0.0;
Max of nb of {launch} received (min) ;1;
Max of nb of {launch} received (max) ;1;
Max of total size of {launch} received (avg) ;0.0;
Max of total size of {launch} received (stddev) ;0.0;
Max of total size of {launch} received (min) ;0;
Max of total size of {launch} received (max) ;0;
Max of max size of {launch} received (avg) ;0.0;
Max of max size of {launch} received (stddev) ;0.0;
Max of max size of {launch} received (min) ;0;
Max of max size of {launch} received (max) ;0;
Max of min size of {launch} received (avg) ;0.0;
Max of min size of {launch} received (stddev) ;0.0;
Max of min size of {launch} received (min) ;0;
Max of min size of {launch} received (max) ;0;
Min of nb of {launch} received (avg) ;-1.0;
Min of nb of {launch} received (stddev) ;0.0;
Min of nb of {launch} received (min) ;-1;
Min of nb of {launch} received (max) ;0;
Min of total size of {launch} received (avg) ;-1.0;
Min of total size of {launch} received (stddev) ;0.0;
Min of total size of {launch} received (min) ;-1;
Min of total size of {launch} received (max) ;0;
Min of max size of {launch} received (avg) ;-1.0;
Min of max size of {launch} received (stddev) ;0.0;
Min of max size of {launch} received (min) ;-1;
Min of max size of {launch} received (max) ;0;
Min of min size of {launch} received (avg) ;-1.0;
Min of min size of {launch} received (stddev) ;0.0;
Min of min size of {launch} received (min) ;-1;
Min of min size of {launch} received (max) ;0;
Sum of nb of {launch} received (avg) ;-6.0;
Sum of nb of {launch} received (stddev) ;0.0;
Sum of nb of {launch} received (min) ;-6;
Sum of nb of {launch} received (max) ;0;
Sum of total size of {launch} received (avg) ;-7.0;
Sum of total size of {launch} received (stddev) ;0.0;
Sum of total size of {launch} received (min) ;-7;
Sum of total size of {launch} received (max) ;0;
Sum of max size of {launch} received (avg) ;-7.0;
Sum of max size of {launch} received (stddev) ;0.0;
Sum of max size of {launch} received (min) ;-7;
Sum of max size of {launch} received (max) ;0;
Sum of min size of {launch} received (avg) ;-7.0;
Sum of min size of {launch} received (stddev) ;0.0;
Sum of min size of {launch} received (min) ;-7;
Sum of min size of {launch} received (max) ;0;
Average of nb of {launch} received (avg) ;-0.75;
Average of nb of {launch} received (stddev) ;0.0;
Average of nb of {launch} received (min) ;-0.75;
Average of nb of {launch} received (max) ;0;
Average of total size of {launch} received (avg) ;-0.875;
Average of total size of {launch} received (stddev) ;0.0;
Average of total size of {launch} received (min) ;-0.875;
Average of total size of {launch} received (max) ;0;
Average of max size of {launch} received (avg) ;-0.875;
Average of max size of {launch} received (stddev) ;0.0;
Average of max size of {launch} received (min) ;-0.875;
Average of max size of {launch} received (max) ;0;
Average of min size of {launch} received (avg) ;-0.875;
Average of min size of {launch} received (stddev) ;0.0;
Average of min size of {launch} received (min) ;-0.875;
Average of min size of {launch} received (max) ;0;
Standard deviation of nb of {launch} received (avg) ;0.6614378277661477;
Standard deviation of nb of {launch} received (stddev) ;0.0;
Standard deviation of nb of {launch} received (min) ;0.6614378277661477;
Standard deviation of nb of {launch} received (max) ;0.6614378277661477;
Standard deviation of total size of {launch} received (avg) ;0.33071891388307384;
Standard deviation of total size of {launch} received (stddev) ;0.0;
Standard deviation of total size of {launch} received (min) ;0.33071891388307384;
Standard deviation of total size of {launch} received (max) ;0.33071891388307384;
Standard deviation of max size of {launch} received (avg) ;0.33071891388307384;
Standard deviation of max size of {launch} received (stddev) ;0.0;
Standard deviation of max size of {launch} received (min) ;0.33071891388307384;
Standard deviation of max size of {launch} received (max) ;0.33071891388307384;
Standard deviation of min size of {launch} received (avg) ;0.33071891388307384;
Standard deviation of min size of {launch} received (stddev) ;0.0;
Standard deviation of min size of {launch} received (min) ;0.33071891388307384;
Standard deviation of min size of {launch} received (max) ;0.33071891388307384;
Product of nb of {accept request} received (avg) ;5.0;
Product of nb of {accept request} received (stddev) ;0.0;
Product of nb of {accept request} received (min) ;5;
Product of nb of {accept request} received (max) ;5;
Product of total size of {accept request} received (avg) ;50000.0;
Product of total size of {accept request} received (stddev) ;0.0;
Product of total size of {accept request} received (min) ;50000;
Product of total size of {accept request} received (max) ;50000;
Product of max size of {accept request} received (avg) ;10000.0;
Product of max size of {accept request} received (stddev) ;0.0;
Product of max size of {accept request} received (min) ;10000;
Product of max size of {accept request} received (max) ;10000;
Product of min size of {accept request} received (avg) ;10000.0;
Product of min size of {accept request} received (stddev) ;0.0;
Product of min size of {accept request} received (min) ;10000;
Product of min size of {accept request} received (max) ;10000;
Max of nb of {accept request} received (avg) ;5.0;
Max of nb of {accept request} received (stddev) ;0.0;
Max of nb of {accept request} received (min) ;5;
Max of nb of {accept request} received (max) ;5;
Max of total size of {accept request} received (avg) ;50.0;
Max of total size of {accept request} received (stddev) ;0.0;
Max of total size of {accept request} received (min) ;50;
Max of total size of {accept request} received (max) ;50;
Max of max size of {accept request} received (avg) ;10.0;
Max of max size of {accept request} received (stddev) ;0.0;
Max of max size of {accept request} received (min) ;10;
Max of max size of {accept request} received (max) ;10;
Max of min size of {accept request} received (avg) ;10.0;
Max of min size of {accept request} received (stddev) ;0.0;
Max of min size of {accept request} received (min) ;10;
Max of min size of {accept request} received (max) ;10;
Min of nb of {accept request} received (avg) ;-1.0;
Min of nb of {accept request} received (stddev) ;0.0;
Min of nb of {accept request} received (min) ;-1;
Min of nb of {accept request} received (max) ;0;
Min of total size of {accept request} received (avg) ;-1.0;
Min of total size of {accept request} received (stddev) ;0.0;
Min of total size of {accept request} received (min) ;-1;
Min of total size of {accept request} received (max) ;0;
Min of max size of {accept request} received (avg) ;-1.0;
Min of max size of {accept request} received (stddev) ;0.0;
Min of max size of {accept request} received (min) ;-1;
Min of max size of {accept request} received (max) ;0;
Min of min size of {accept request} received (avg) ;-1.0;
Min of min size of {accept request} received (stddev) ;0.0;
Min of min size of {accept request} received (min) ;-1;
Min of min size of {accept request} received (max) ;0;
Sum of nb of {accept request} received (avg) ;4.0;
Sum of nb of {accept request} received (stddev) ;0.0;
Sum of nb of {accept request} received (min) ;4;
Sum of nb of {accept request} received (max) ;4;
Sum of total size of {accept request} received (avg) ;76.0;
Sum of total size of {accept request} received (stddev) ;0.0;
Sum of total size of {accept request} received (min) ;76;
Sum of total size of {accept request} received (max) ;76;
Sum of max size of {accept request} received (avg) ;36.0;
Sum of max size of {accept request} received (stddev) ;0.0;
Sum of max size of {accept request} received (min) ;36;
Sum of max size of {accept request} received (max) ;36;
Sum of min size of {accept request} received (avg) ;36.0;
Sum of min size of {accept request} received (stddev) ;0.0;
Sum of min size of {accept request} received (min) ;36;
Sum of min size of {accept request} received (max) ;36;
Average of nb of {accept request} received (avg) ;0.5;
Average of nb of {accept request} received (stddev) ;0.0;
Average of nb of {accept request} received (min) ;0.5;
Average of nb of {accept request} received (max) ;0.5;
Average of total size of {accept request} received (avg) ;9.5;
Average of total size of {accept request} received (stddev) ;0.0;
Average of total size of {accept request} received (min) ;9.5;
Average of total size of {accept request} received (max) ;9.5;
Average of max size of {accept request} received (avg) ;4.5;
Average of max size of {accept request} received (stddev) ;0.0;
Average of max size of {accept request} received (min) ;4.5;
Average of max size of {accept request} received (max) ;4.5;
Average of min size of {accept request} received (avg) ;4.5;
Average of min size of {accept request} received (stddev) ;0.0;
Average of min size of {accept request} received (min) ;4.5;
Average of min size of {accept request} received (max) ;4.5;
Standard deviation of nb of {accept request} received (avg) ;1.9364916731037085;
Standard deviation of nb of {accept request} received (stddev) ;0.0;
Standard deviation of nb of {accept request} received (min) ;1.9364916731037085;
